alpha,gamma,epsilon,episodes,rewards
0.7, 0.85, 0.5, 10000, 41
0.7, 0.85, 0.5, 50000, 47
0.7, 0.85, 0.5, 100000, 45
0.7, 0.8, 0.9, 10000, 15
0.7, 0.8, 0.9, 50000, 24
0.7, 0.8, 0.9, 100000, 47
0.7, 0.8, 0.8, 10000, 16
0.7, 0.8, 0.8, 50000, 56
0.7, 0.8, 0.8, 100000, 33
0.7, 0.8, 0.7, 10000, 49
0.7, 0.8, 0.7, 50000, 62
0.7, 0.8, 0.7, 100000, 54
0.7, 0.8, 0.5, 10000, 73
0.7, 0.8, 0.5, 50000, 31
0.7, 0.8, 0.5, 100000, 45
0.7, 0.75, 0.9, 10000, 0
0.7, 0.75, 0.9, 50000, 15
0.7, 0.75, 0.9, 100000, 43
0.7, 0.75, 0.8, 10000, 2
0.7, 0.75, 0.8, 50000, 0
0.7, 0.75, 0.8, 100000, 54
0.7, 0.75, 0.7, 10000, 15
0.7, 0.75, 0.7, 50000, 6
0.7, 0.75, 0.7, 100000, 39
0.7, 0.75, 0.5, 10000, 35
0.7, 0.75, 0.5, 50000, 9
0.7, 0.75, 0.5, 100000, 73
0.7, 0.5, 0.9, 10000, 9
0.7, 0.5, 0.9, 50000, 31
0.7, 0.5, 0.9, 100000, 15
0.7, 0.5, 0.8, 10000, 7
0.7, 0.5, 0.8, 50000, 11
0.7, 0.5, 0.8, 100000, 26
0.7, 0.5, 0.7, 10000, 18
0.7, 0.5, 0.7, 50000, 9
0.7, 0.5, 0.7, 100000, 46
0.7, 0.5, 0.5, 10000, 7
0.7, 0.5, 0.5, 50000, 3
0.7, 0.5, 0.5, 100000, 10
0.7, 0.3, 0.9, 10000, 4
0.7, 0.3, 0.9, 50000, 16
0.7, 0.3, 0.9, 100000, 3
0.7, 0.3, 0.8, 10000, 2
0.7, 0.3, 0.8, 50000, 17
0.7, 0.3, 0.8, 100000, 17
0.7, 0.3, 0.7, 10000, 11
0.7, 0.3, 0.7, 50000, 12
0.7, 0.3, 0.7, 100000, 12
0.7, 0.3, 0.5, 10000, 7
0.7, 0.3, 0.5, 50000, 5
0.7, 0.3, 0.5, 100000, 28
0.5, 0.99, 0.9, 10000, 74
0.5, 0.99, 0.9, 50000, 82
0.5, 0.99, 0.9, 100000, 82
0.5, 0.99, 0.8, 10000, 75
0.5, 0.99, 0.8, 50000, 78
0.5, 0.99, 0.8, 100000, 72
0.5, 0.99, 0.7, 10000, 76
0.5, 0.99, 0.7, 50000, 77
0.5, 0.99, 0.7, 100000, 80
0.5, 0.99, 0.5, 10000, 66
0.5, 0.99, 0.5, 50000, 82
0.5, 0.99, 0.5, 100000, 83
0.5, 0.95, 0.9, 10000, 80
0.5, 0.95, 0.9, 50000, 79
0.5, 0.95, 0.9, 100000, 84
0.5, 0.95, 0.8, 10000, 26
0.5, 0.95, 0.8, 50000, 18
0.5, 0.95, 0.8, 100000, 85
0.5, 0.95, 0.7, 10000, 73
0.5, 0.95, 0.7, 50000, 81
0.5, 0.95, 0.7, 100000, 67
0.5, 0.95, 0.5, 10000, 17
0.5, 0.95, 0.5, 50000, 73
0.5, 0.95, 0.5, 100000, 62
0.5, 0.9, 0.9, 10000, 42
0.5, 0.9, 0.9, 50000, 66
0.5, 0.9, 0.9, 100000, 85
0.5, 0.9, 0.8, 10000, 0
0.5, 0.9, 0.8, 50000, 84
0.5, 0.9, 0.8, 100000, 48
0.5, 0.9, 0.7, 10000, 21
0.5, 0.9, 0.7, 50000, 43
0.5, 0.9, 0.7, 100000, 51
0.5, 0.9, 0.5, 10000, 29
0.5, 0.9, 0.5, 50000, 75
0.5, 0.9, 0.5, 100000, 57
0.5, 0.85, 0.9, 10000, 72
0.5, 0.85, 0.9, 50000, 54
0.5, 0.85, 0.9, 100000, 53
0.5, 0.85, 0.8, 10000, 69
0.5, 0.85, 0.8, 50000, 24
0.5, 0.85, 0.8, 100000, 44
0.5, 0.85, 0.7, 10000, 13
0.5, 0.85, 0.7, 50000, 80
0.5, 0.85, 0.7, 100000, 43
0.5, 0.85, 0.5, 10000, 7
0.5, 0.85, 0.5, 50000, 46
0.5, 0.85, 0.5, 100000, 57
0.5, 0.8, 0.9, 10000, 11
0.5, 0.8, 0.9, 50000, 44
0.5, 0.8, 0.9, 100000, 45
0.5, 0.8, 0.8, 10000, 0
0.5, 0.8, 0.8, 50000, 51
0.5, 0.8, 0.8, 100000, 51
0.5, 0.8, 0.7, 10000, 21
0.5, 0.8, 0.7, 50000, 44
0.5, 0.8, 0.7, 100000, 41
0.5, 0.8, 0.5, 10000, 15
0.5, 0.8, 0.5, 50000, 51
0.5, 0.8, 0.5, 100000, 46
0.5, 0.75, 0.9, 10000, 19
0.5, 0.75, 0.9, 50000, 49
0.5, 0.75, 0.9, 100000, 61
0.5, 0.75, 0.8, 10000, 1
0.5, 0.75, 0.8, 50000, 36
0.5, 0.75, 0.8, 100000, 39
0.5, 0.75, 0.7, 10000, 10
0.5, 0.75, 0.7, 50000, 18
0.5, 0.75, 0.7, 100000, 23
0.5, 0.75, 0.5, 10000, 5
0.5, 0.75, 0.5, 50000, 29
0.5, 0.75, 0.5, 100000, 53
0.5, 0.5, 0.9, 10000, 11
0.5, 0.5, 0.9, 50000, 15
0.5, 0.5, 0.9, 100000, 36
0.5, 0.5, 0.8, 10000, 7
0.5, 0.5, 0.8, 50000, 45
0.5, 0.5, 0.8, 100000, 7
0.5, 0.5, 0.7, 10000, 13
0.5, 0.5, 0.7, 50000, 23
0.5, 0.5, 0.7, 100000, 18
0.5, 0.5, 0.5, 10000, 4
0.5, 0.5, 0.5, 50000, 6
0.5, 0.5, 0.5, 100000, 10
0.5, 0.3, 0.9, 10000, 12
0.5, 0.3, 0.9, 50000, 14
0.5, 0.3, 0.9, 100000, 12
0.5, 0.3, 0.8, 10000, 15
0.5, 0.3, 0.8, 50000, 12
0.5, 0.3, 0.8, 100000, 9
0.5, 0.3, 0.7, 10000, 10
0.5, 0.3, 0.7, 50000, 13
0.5, 0.3, 0.7, 100000, 16
0.5, 0.3, 0.5, 10000, 2
